Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Mostow J., Beck J.","7003577434;7403532386;","Some useful tactics to modify, map and mine data from intelligent tutors",2006,"Natural Language Engineering","12","2",,"195","208",,83,"10.1017/S1351324906004153",2-s2.0-33646871997
"Al-Emran M., Malik S.I., Al-Kabi M.N.","56593108000;57139473400;36929981600;","A Survey of Internet of Things (IoT) in Education: Opportunities and Challenges",2020,"Studies in Computational Intelligence","846",,,"197","209",,114,"10.1007/978-3-030-24513-9_12",2-s2.0-85070234004
"Alonso-Fernández C., Calvo-Morata A., Freire M., Martínez-Ortiz I., Fernández-Manjón B.","57194854581;56685605900;8551919600;8951372200;55884700700;","Applications of data science to game learning analytics data: A systematic literature review",2019,"Computers and Education","141",,"103612","","",,85,"10.1016/j.compedu.2019.103612",2-s2.0-85067888479
"Arnold K.E., Pistilli M.D.","52463210500;55329455800;","Course signals at Purdue: Using learning analytics to increase student success",2012,"ACM International Conference Proceeding Series",,,,"267","270",,569,"10.1145/2330601.2330666",2-s2.0-84864706353
"Baker R.S.","","Big data and education",2015,"Big Data and Education",,,,"","",,38,,2-s2.0-85011582484
"Baker R.S.","8967971100;","Challenges for the Future of Educational Data Mining: The Baker Learning Analytics Prizes",2019,"Journal of Educational Data Mining","11","1",,"1","17",,63,"10.5281/zenodo.3554745",2-s2.0-85092031411
"Baker R., Yacef K.","","The state of educational data mining in 2009: A review and future visions",2009,"Journal of Educational Data Mining","1","1",,"3","17",,947,,2-s2.0-77954605151
"Baker R.S., Inventado P.S.","8967971100;36573634500;","Educational data mining and learning analytics",2014,"Learning Analytics: From Research to Practice",,,,"61","75",,407,"10.1007/978-1-4614-3305-7_4",2-s2.0-84937549355
"Bakhshinategh B., Zaiane O.R., ElAtia S., Ipperciel D.","56023779300;6602849837;55993010600;6506688677;","Educational data mining applications and tasks: A survey of the last 10 years",2018,"Education and Information Technologies","23","1",,"537","553",,170,"10.1007/s10639-017-9616-z",2-s2.0-85021729947
"Baradwaj B.K., Pal S.","","Mining educational data to analyze students' performance",2011,"International Journal of Advanced Computer Science and Applications","2","6",,"63","69",,293,,2-s2.0-84860359459
"Bienkowski M., Feng M., Means B.","",[No title available],2012,"Enhancing Teaching and Learning Through Educational Data Mining and Learning Analytics: An Issue Brief",,,,"","",,428,,2-s2.0-84864657333
"Bogarín A., Cerezo R., Romero C.","56118688800;26649747300;55865135900;","A survey on educational process mining",2018,"Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery","8","1","e1230","","",,164,"10.1002/widm.1230",2-s2.0-85038557947
"Botelho A.F., Baker R.S., Heffernan N.T.","56597707600;8967971100;14041775100;","Machine-learned or expert-engineered features? Exploring feature engineering methods in detectors of student behavior and affect",2019,"EDM 2019 - Proceedings of the 12th International Conference on Educational Data Mining",,,,"508","511",,6,,2-s2.0-85086002152
"Bravo-Agapito J., Bonilla C.F., Seoane I.","56243185000;57204039374;36133619500;","Data mining in foreign language learning",2020,"Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery","10","1","e1287","","",,11,"10.1002/widm.1287",2-s2.0-85054194606
"Campbell J.P., DeBlois P.B., Oblinger D.G.","","Academic analytics: A new tool for a new era",2007,"EDUCAUSE Review","42","4",,"40","57",,410,,2-s2.0-71549141667
"Cano A., Leonard J.D.","36170312300;57209325367;","Interpretable Multiview Early Warning System Adapted to Underrepresented Student Populations",2019,"IEEE Transactions on Learning Technologies","12","2","8691619","198","211",,51,"10.1109/TLT.2019.2911079",2-s2.0-85064705655
"Cerezo R., Calderón V., Romero C.","26649747300;57204792263;55865135900;","A holographic mobile-based application for practicing pronunciation of basic English vocabulary for Spanish speaking children",2019,"International Journal of Human Computer Studies","124",,,"13","25",,32,"10.1016/j.ijhcs.2018.11.009",2-s2.0-85057173888
"Custer S., King E.M., Manuelyan Atinc T., Read L., Sethi T.","",[No title available],2018,"Toward Data-driven Education Systems: Insights into Using Information to Measure Results and Manage Change",,,,"","",,13,,2-s2.0-85058183230
"Daniel B.K.","7102039840;","Big Data and data science: A critical review of issues for educational research",2019,"British Journal of Educational Technology","50","1",,"101","113",,122,"10.1111/bjet.12595",2-s2.0-85034736193
"Datnow A., Hubbard L.","6701910783;7006896566;","Teacher capacity for and beliefs about data-driven decision making: A literature review of international research",2016,"Journal of Educational Change","17","1",,"7","28",,151,"10.1007/s10833-015-9264-2",2-s2.0-84957433578
